fecha_utc,accion,precio,pnl_pct,equity_despues
2026-07-30 14:29 UTC,BUY,4155.2002,,1034.70
2026-07-30 14:33 UTC,SELL,4162.1001,0.069,1034.74
2026-07-30 14:34 UTC,BUY,4159.7002,,1034.74
2026-07-30 14:36 UTC,SELL,4164.6001,0.069,1034.78
2026-07-30 14:37 UTC,BUY,4163.6001,,1034.78
2026-07-30 14:40 UTC,SELL,4167.8999,0.069,1034.83
2026-07-30 14:41 UTC,BUY,4165.3999,,1034.83
2026-07-30 14:43 UTC,SELL,4168.7002,0.069,1034.87
2026-07-30 14:44 UTC,BUY,4170.2002,,1034.87
2026-07-30 14:45 UTC,BUY,4167.1559,,1034.87
2026-07-30 14:46 UTC,BUY,4164.1139,,1034.87
2026-07-30 14:50 UTC,BUY,4161.0741,,1034.87
2026-07-30 14:50 UTC,BUY,4158.0365,,1034.87
2026-07-30 15:06 UTC,BUY,4155.0012,,1034.87
2026-07-30 15:07 UTC,BUY,4151.9680,,1034.87
2026-07-30 15:37 UTC,SELL,4159.8999,0.069,1036.19
2026-07-30 15:38 UTC,BUY,4157.5000,,1036.19
2026-07-30 15:41 UTC,SELL,4160.8999,0.069,1036.23
2026-07-30 15:42 UTC,BUY,4161.3999,,1036.23
2026-07-30 15:44 UTC,SELL,4165.7998,0.069,1036.27
2026-07-30 15:45 UTC,BUY,4162.3999,,1036.27
2026-07-30 15:47 UTC,SELL,4165.5000,0.069,1036.31
2026-07-30 15:48 UTC,BUY,4164.8999,,1036.31
2026-07-30 15:55 UTC,SELL,4169.2002,0.069,1036.36
2026-07-30 15:56 UTC,BUY,4167.5000,,1036.36
2026-07-30 16:00 UTC,SELL,4170.6001,0.069,1036.40
2026-07-30 16:01 UTC,BUY,4170.1001,,1036.40
2026-07-30 16:04 UTC,SELL,4175.0000,0.069,1036.44
2026-07-30 16:05 UTC,BUY,4171.3999,,1036.44
2026-07-30 16:10 UTC,BUY,4168.3548,,1036.44
2026-07-30 16:12 UTC,SELL,4174.0000,0.069,1036.54
2026-07-30 16:13 UTC,BUY,4173.2002,,1036.54
2026-07-30 16:24 UTC,SELL,4178.2998,0.069,1036.58
2026-07-30 16:25 UTC,BUY,4176.0000,,1036.58
2026-07-30 16:34 UTC,BUY,4172.9515,,1036.58
2026-07-30 16:39 UTC,BUY,4169.9053,,1036.58
2026-07-30 16:45 UTC,BUY,4166.8612,,1036.58
2026-07-30 17:14 UTC,BUY,4163.8194,,1036.58
2026-07-30 17:29 UTC,BUY,4160.7798,,1036.58
2026-07-30 17:29 UTC,BUY,4157.7425,,1036.58
2026-07-30 17:37 UTC,SELL,4167.3999,0.069,1037.91
2026-07-30 17:38 UTC,BUY,4162.3999,,1037.91
2026-07-30 17:41 UTC,SELL,4165.7002,0.069,1037.95
2026-07-30 17:41 UTC,BUY,4164.0000,,1037.95
2026-07-30 17:45 UTC,SELL,4167.3999,0.069,1037.99
2026-07-30 17:46 UTC,BUY,4166.7002,,1037.99
2026-07-30 17:49 UTC,BUY,4163.6585,,1037.99
2026-07-30 17:55 UTC,BUY,4160.6190,,1037.99
2026-07-30 18:34 UTC,SELL,4166.7998,0.069,1038.18
2026-07-30 18:35 UTC,BUY,4164.2998,,1038.18
2026-07-30 18:48 UTC,BUY,4161.2599,,1038.18
2026-07-30 18:54 UTC,BUY,4158.2221,,1038.18
2026-07-30 19:05 UTC,SELL,4163.6001,0.069,1038.38
2026-07-30 19:06 UTC,BUY,4164.0000,,1038.38
2026-07-30 19:16 UTC,SELL,4168.0000,0.069,1038.42
2026-07-30 19:17 UTC,BUY,4171.2998,,1038.42
2026-07-30 19:20 UTC,BUY,4168.2548,,1038.42
2026-07-30 19:25 UTC,SELL,4173.1001,0.069,1038.52
2026-07-30 19:26 UTC,BUY,4173.2998,,1038.52
2026-07-30 19:47 UTC,BUY,4170.2533,,1038.52
2026-07-30 20:01 UTC,SELL,4175.0000,0.069,1038.63
2026-07-30 20:02 UTC,BUY,4174.2002,,1038.63
2026-07-30 20:28 UTC,BUY,4171.1530,,1038.63
2026-07-30 20:31 UTC,BUY,4168.1081,,1038.63
2026-07-30 20:43 UTC,BUY,4165.0654,,1038.63
2026-07-30 20:43 UTC,BUY,4162.0249,,1038.63
2026-07-30 20:50 UTC,BUY,4158.9866,,1038.63
2026-07-30 22:15 UTC,SELL,4166.5000,0.069,1039.48
2026-07-30 22:16 UTC,BUY,4166.7998,,1039.48
2026-07-30 23:00 UTC,SELL,4169.8999,0.069,1039.52
2026-07-30 23:01 UTC,BUY,4169.0000,,1039.52
2026-07-30 23:11 UTC,BUY,4165.9566,,1039.52
2026-07-30 23:29 UTC,BUY,4162.9155,,1039.52
2026-07-30 23:45 UTC,SELL,4168.2002,0.069,1039.72
2026-07-30 23:46 UTC,BUY,4168.2002,,1039.72
2026-07-30 23:50 UTC,BUY,4165.1574,,1039.72
2026-07-31 00:00 UTC,BUY,4162.1168,,1039.72
2026-07-31 00:16 UTC,BUY,4159.0785,,1039.72
2026-07-31 00:28 UTC,BUY,4156.0424,,1039.72
2026-07-31 00:31 UTC,BUY,4153.0085,,1039.72
2026-07-31 00:41 UTC,BUY,4149.9768,,1039.72
2026-07-31 01:01 UTC,SELL,4158.5000,0.069,1041.04
2026-07-31 01:02 UTC,BUY,4158.7002,,1041.04
2026-07-31 01:05 UTC,BUY,4155.6643,,1041.04
2026-07-31 01:11 UTC,BUY,4152.6307,,1041.04
2026-07-31 01:14 UTC,BUY,4149.5993,,1041.04
2026-07-31 01:15 UTC,BUY,4146.5701,,1041.04
2026-07-31 01:37 UTC,BUY,4143.5431,,1041.04
2026-07-31 01:50 UTC,BUY,4140.5183,,1041.04
2026-07-31 02:11 UTC,SELL,4148.7998,0.069,1042.37
2026-07-31 02:12 UTC,BUY,4147.8999,,1042.37
2026-07-31 02:14 UTC,BUY,4144.8719,,1042.37
2026-07-31 02:15 UTC,BUY,4141.8462,,1042.37
2026-07-31 02:41 UTC,BUY,4138.8226,,1042.37
2026-07-31 02:42 UTC,BUY,4135.8013,,1042.37
2026-07-31 02:51 UTC,BUY,4132.7822,,1042.37
2026-07-31 03:12 UTC,BUY,4129.7652,,1042.37
2026-07-31 04:27 UTC,SELL,4137.7002,0.069,1043.69
2026-07-31 04:28 UTC,BUY,4137.5000,,1043.69
2026-07-31 04:49 UTC,BUY,4134.4796,,1043.69
2026-07-31 05:00 UTC,SELL,4138.8999,0.069,1043.79
2026-07-31 05:01 UTC,BUY,4139.3999,,1043.79
2026-07-31 05:38 UTC,BUY,4136.3781,,1043.79
2026-07-31 05:45 UTC,BUY,4133.3586,,1043.79
2026-07-31 06:06 UTC,SELL,4139.5000,0.069,1043.99
2026-07-31 06:07 UTC,BUY,4139.2998,,1043.99
2026-07-31 06:16 UTC,SELL,4143.7002,0.069,1044.03
2026-07-31 06:17 UTC,BUY,4144.1001,,1044.03
2026-07-31 06:22 UTC,BUY,4141.0749,,1044.03
2026-07-31 06:33 UTC,BUY,4138.0519,,1044.03
2026-07-31 06:39 UTC,BUY,4135.0311,,1044.03
2026-07-31 07:21 UTC,BUY,4132.0126,,1044.03
2026-07-31 07:30 UTC,BUY,4128.9962,,1044.03
2026-07-31 07:36 UTC,BUY,4125.9820,,1044.03
2026-08-02 22:11 UTC,SELL,4134.7998,0.069,1045.35
2026-08-02 22:12 UTC,BUY,4133.8999,,1045.35
2026-08-02 22:15 UTC,BUY,4130.8822,,1045.35
2026-08-02 22:18 UTC,BUY,4127.8666,,1045.35
2026-08-02 22:19 UTC,BUY,4124.8533,,1045.35
2026-08-02 22:24 UTC,BUY,4121.8421,,1045.35
2026-08-02 23:50 UTC,SELL,4129.5000,0.069,1045.90
2026-08-02 23:51 UTC,BUY,4127.7002,,1045.90
2026-08-03 00:00 UTC,SELL,4133.8999,0.069,1045.94
2026-08-03 00:01 UTC,BUY,4134.2998,,1045.94
2026-08-03 00:06 UTC,BUY,4131.2818,,1045.94
2026-08-03 00:10 UTC,BUY,4128.2659,,1045.94
2026-08-03 00:20 UTC,BUY,4125.2523,,1045.94
2026-08-03 00:23 UTC,BUY,4122.2409,,1045.94
2026-08-03 00:26 UTC,BUY,4119.2316,,1045.94
2026-08-03 00:37 UTC,BUY,4116.2246,,1045.94
2026-08-03 04:16 UTC,SELL,4125.2998,0.069,1047.26
2026-08-03 04:17 UTC,BUY,4123.5000,,1047.26
2026-08-03 04:48 UTC,SELL,4126.7002,0.069,1047.30
2026-08-03 04:49 UTC,BUY,4126.2998,,1047.30
2026-08-03 04:52 UTC,BUY,4123.2876,,1047.30
2026-08-03 04:58 UTC,BUY,4120.2776,,1047.30
2026-08-03 05:05 UTC,BUY,4117.2698,,1047.30
2026-08-03 05:10 UTC,BUY,4114.2642,,1047.30
2026-08-03 05:16 UTC,BUY,4111.2608,,1047.30
2026-08-03 05:42 UTC,SELL,4119.1001,0.069,1048.16
2026-08-03 05:43 UTC,BUY,4119.2998,,1048.16
2026-08-03 05:45 UTC,BUY,4116.2927,,1048.16
2026-08-03 05:55 UTC,SELL,4121.0000,0.069,1048.26
2026-08-03 05:56 UTC,BUY,4121.0000,,1048.26
2026-08-03 05:58 UTC,SELL,4124.6001,0.069,1048.30
2026-08-03 05:59 UTC,BUY,4124.2002,,1048.30
2026-08-03 06:15 UTC,BUY,4121.1895,,1048.30
2026-08-03 06:23 UTC,SELL,4126.7998,0.069,1048.41
2026-08-03 06:24 UTC,BUY,4126.0000,,1048.41
2026-08-03 06:26 UTC,BUY,4122.9880,,1048.41
2026-08-03 06:34 UTC,BUY,4119.9782,,1048.41
2026-08-03 06:34 UTC,BUY,4116.9707,,1048.41
2026-08-03 07:17 UTC,BUY,4113.9653,,1048.41
2026-08-03 07:17 UTC,BUY,4110.9621,,1048.41
2026-08-03 07:20 UTC,BUY,4107.9611,,1048.41
2026-08-03 07:34 UTC,SELL,4115.7998,0.069,1049.73
2026-08-03 07:35 UTC,BUY,4116.2002,,1049.73
2026-08-03 07:36 UTC,BUY,4113.1954,,1049.73
2026-08-03 07:53 UTC,SELL,4118.3999,0.069,1049.83
2026-08-03 07:54 UTC,BUY,4118.2002,,1049.83
2026-08-03 08:01 UTC,BUY,4115.1939,,1049.83
2026-08-03 08:27 UTC,BUY,4112.1898,,1049.83
2026-08-03 09:13 UTC,SELL,4117.7002,0.069,1050.03
2026-08-03 09:14 UTC,BUY,4117.2998,,1050.03
2026-08-03 09:18 UTC,BUY,4114.2942,,1050.03
2026-08-03 09:21 UTC,BUY,4111.2907,,1050.03
2026-08-03 09:27 UTC,BUY,4108.2895,,1050.03
2026-08-03 09:30 UTC,BUY,4105.2904,,1050.03
2026-08-03 09:48 UTC,SELL,4112.3999,0.069,1050.57
2026-08-03 09:49 UTC,BUY,4112.1001,,1050.57
2026-08-03 10:22 UTC,BUY,4109.0983,,1050.57
2026-08-03 10:42 UTC,BUY,4106.0986,,1050.57
2026-08-03 10:51 UTC,BUY,4103.1012,,1050.57
2026-08-03 11:05 UTC,SELL,4109.2002,0.069,1050.91
2026-08-03 11:06 UTC,BUY,4106.5000,,1050.91
2026-08-03 11:17 UTC,BUY,4103.5023,,1050.91
2026-08-03 11:37 UTC,SELL,4108.1001,0.069,1051.01
2026-08-03 11:38 UTC,BUY,4107.2002,,1051.01
2026-08-03 11:42 UTC,SELL,4110.7002,0.069,1051.05
2026-08-03 11:43 UTC,BUY,4110.2998,,1051.05
2026-08-03 11:49 UTC,SELL,4117.5000,0.069,1051.09
2026-08-03 11:50 UTC,BUY,4118.2998,,1051.09
2026-08-03 12:05 UTC,BUY,4115.2934,,1051.09
2026-08-03 12:13 UTC,BUY,4112.2893,,1051.09
2026-08-03 12:19 UTC,BUY,4109.2873,,1051.09
2026-08-03 12:20 UTC,BUY,4106.2875,,1051.09
2026-08-03 12:37 UTC,BUY,4103.2899,,1051.09
2026-08-03 12:40 UTC,BUY,4100.2945,,1051.09
2026-08-03 13:00 UTC,SELL,4109.7998,0.069,1052.42
2026-08-03 13:01 UTC,BUY,4101.3999,,1052.42
2026-08-03 13:02 UTC,BUY,4098.4059,,1052.42
2026-08-03 13:13 UTC,BUY,4095.4140,,1052.42
2026-08-03 13:17 UTC,BUY,4092.4244,,1052.42
2026-08-03 13:20 UTC,BUY,4089.4369,,1052.42
2026-08-03 13:31 UTC,BUY,4086.4516,,1052.42
2026-08-03 13:35 UTC,BUY,4083.4685,,1052.42
2026-08-03 14:02 UTC,SELL,4091.3999,0.069,1053.74
2026-08-03 14:03 UTC,BUY,4084.8999,,1053.74
2026-08-03 14:10 UTC,BUY,4081.9179,,1053.74
2026-08-03 14:13 UTC,SELL,4087.0000,0.069,1053.84
2026-08-03 14:14 UTC,BUY,4088.3999,,1053.84
2026-08-03 14:20 UTC,BUY,4085.4154,,1053.84
2026-08-03 14:22 UTC,SELL,4090.0000,0.069,1053.95
2026-08-03 14:23 UTC,BUY,4090.3000,,1053.95
2026-08-03 14:30 UTC,BUY,4087.3141,,1053.95
2026-08-03 14:35 UTC,SELL,4093.1001,0.069,1054.05
2026-08-03 14:36 UTC,BUY,4091.3999,,1054.05
2026-08-03 14:39 UTC,BUY,4088.4132,,1054.05
2026-08-03 14:42 UTC,SELL,4093.3999,0.069,1054.15
2026-08-03 14:43 UTC,BUY,4093.0000,,1054.15
2026-08-03 14:48 UTC,BUY,4090.0121,,1054.15
2026-08-03 14:57 UTC,SELL,4094.8999,0.069,1054.25
2026-08-03 14:58 UTC,BUY,4092.6001,,1054.25
2026-08-03 15:01 UTC,BUY,4089.6125,,1054.25
2026-08-03 15:05 UTC,BUY,4086.6271,,1054.25
2026-08-03 15:08 UTC,SELL,4092.3999,0.069,1054.45
2026-08-03 15:08 UTC,BUY,4090.3000,,1054.45
